archive;isilcode;name;search;homepage;archiefwiki;twitter
wba;NL-BozWBA;West Brabants Archief;https://www.openarch.nl/wba;https://westbrabantsarchief.nl/;https://archiefwiki.pleio.nl/wiki/West-Brabants_Archief;https://twitter.com/WBArchief
wat;NL-PmWA;Waterlands Archief;https://www.openarch.nl/wat;https://www.waterlandsarchief.nl/;https://archiefwiki.pleio.nl/wiki/Waterlands_Archief;https://twitter.com/WaterlArchief
zst;NL-ZtGAZ;Gemeentearchief Zeist;https://www.openarch.nl/zst;https://www.zeist.nl/inwoner/cultuur-sport-en-recreatie/gemeentearchief/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Zeist;https://twitter.com/GemArchiefZeist
gaz;NL-ZtGAZ;Gemeentearchief Zaanstad;https://www.openarch.nl/gaz;https://archief.zaanstad.nl/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Zaanstad;https://twitter.com/ArchiefZaanstad
wfa;NL-HnWFA;Westfries Archief;https://www.openarch.nl/wfa;https://www.westfriesarchief.nl/;https://archiefwiki.pleio.nl/wiki/Westfries_Archief;https://twitter.com/wfarchief
rmd;NL-RmGA;Gemeentearchief Roermond;https://www.openarch.nl/rmd;https://www.roermond.nl/gemeentearchief;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Roermond;https://twitter.com/roermondnieuws
hga;NL-HaHGA;Haags Gemeentearchief;https://www.openarch.nl/hga;https://haagsgemeentearchief.nl/;https://archiefwiki.pleio.nl/wiki/Haags_Gemeentearchief;https://twitter.com/GemeenteDenHaag
ztm;;Gemeentearchief Zoetermeer;https://www.openarch.nl/ztm;https://www.zoetermeer.nl/inwoners/stadsarchief_46467/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Zoetermeer;https://twitter.com/gemZoetermeer
svp;NL-BleSAVPR;Streekarchief Voorne-Putten;https://www.openarch.nl/svp;https://www.streekarchiefvp.nl/;https://archiefwiki.pleio.nl/wiki/Streekarchief_Voorne-Putten_en_Rozenburg;https://twitter.com/voorne_putten
rel;NL-WdRHCRL;RHC Rijnstreek en Lopikerwaard;https://www.openarch.nl/rel;https://rhcrijnstreek.nl/;https://archiefwiki.pleio.nl/wiki/Regionaal_Historisch_Centrum_Rijnstreek_en_Lopikerwaard;https://www.twitter.com/rhcrenl
epe;;Streekarchief Epe, Hattem en Heerde;https://www.openarch.nl/epe;https://www.streekarchiefepe.nl/;https://archiefwiki.pleio.nl/wiki/Streekarchief_Epe_Hattem_Heerde;https://www.twitter.com/archieNVeluwe
def;NL-HaDEF;Ministerie van Defensie (SIB);https://www.openarch.nl/def;https://www.defensie.nl/onderwerpen/archief;;https://twitter.com/Defensie
vls;NL-VsGA;Gemeentearchief Vlissingen;https://www.openarch.nl/vls;https://www.gemeentearchiefvlissingen.nl/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Vlissingen;https://twitter.com/archiefvlissing
abh;;Rijksarchief Belgi\u00eb (Hasselt);https://www.openarch.nl/abh;http://www.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=hasselt;;
abl;;Rijksarchief Belgi\u00eb (Leuven);https://www.openarch.nl/abl;http://www.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=leuven;;
aba;;Rijksarchief Belgi\u00eb (Antwerpen-Beveren);https://www.openarch.nl/aba;http://www.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=beveren;;
nba;;Nederlands Bidprentjes Archief;https://www.openarch.nl/nba;http://bidprentjesarchief.nl/;;
zdk;;Gemeente Zederik;https://www.openarch.nl/zdk;https://historie.zederik.nl/;https://archiefwiki.pleio.nl/wiki/Gemeente_Zederik;https://www.twitter.com/gemzederik
lvg;;Heemkundekring Het Land van Gastel;https://www.openarch.nl/lvg;https://www.heemkundekringhetlandvangastel.nl/referenties/bidprentjes/;;
hkr;;Heemkundekring De Vrijheijt van Rosendale;https://www.openarch.nl/hkr;https://www.heemkundekringroosendaal.nl/Collecties/Bidprentjes/Hoofdpagina%20bidprentjes.html;;
ohg;NL-HdbGA;Gemeentearchief Ommen-Hardenberg;https://www.openarch.nl/ohg;https://www.hardenbergsarchief.nl;;https://twitter.com/gemhardenberg
rkf;;Archief RK Friesland;https://www.openarch.nl/rkf;http://www.archiefrkfriesland.nl/;;
hwh;;Heemkundekring Weerderheem;https://www.openarch.nl/hwh;https://weerderheemcollecties.nl/cgi-bin/bidprent.pl;;
dme;;Documentatiecentrum Maaseik;https://www.openarch.nl/dme;https://sites.google.com/site/dcmaaseik/;;
mgr;NL-HgzHAMG;Historisch Archief Midden-Groningen;https://www.openarch.nl/mgr;https://historischarchief.midden-groningen.nl/;;https://twitter.com/ArchiefMG
hls;;Heemkundekring Loon op 't Sandt;https://www.openarch.nl/hls;http://heemkundekringloonoptsandt.nl/collectie/;;https://twitter.com/HKKLoonoptSandt
gcz;;Genealogisch Centrum Zeeland;https://www.openarch.nl/gcz;http://www.genealogischcentrum.nl/bidprentjes.html;;
hvm;;Heemkundevereniging Medelo;https://www.openarch.nl/hvm;https://medelo.nl/home/;;
gab;;Gemeentearchief Barneveld;https://www.openarch.nl/gab;https://gemeentearchief.barneveld.nl/;;https://twitter.com/barneveldinfo
zou;NL-WbdRHCZOU;RHC Zuidoost Utrecht;https://www.openarch.nl/zou;http://www.rhczuidoostutrecht.com/;;
hvh;;Heemkundevereniging Helden;https://www.openarch.nl/hvh;http://www.moennik.nl/;;
arg;NL-AISARM;Gemeentearchief Alphen aan den Rijn;https://www.openarch.nl/arg;https://gemeentearchief.alphenaandenrijn.nl/;https://archiefwiki.pleio.nl/wiki/Gemeentearchief_Alphen_aan_den_Rijn;https://twitter.com/archiefaadr
nas;;Nationaal Archief Suriname;https://www.openarch.nl/nas;http://www.nationaalarchief.sr;;
sla;;Stad Lommel - Archiefdienst;https://www.openarch.nl/sla;https://www.lommel.be/product/66/genealogische-opzoekingen;;
ell;;Erfgoed Lommel;https://www.openarch.nl/ell;https://erfgoedlommel.be/;;
hvr;;Heemkundevereniging Roerstreek;https://www.openarch.nl/hvr;https://www.roerstreekmuseum.nl/;;
kbd;NL-0100030000;Koninklijke Bibliotheek;https://www.openarch.nl/kbd;https://www.delpher.nl/;;https://twitter.com/DelpherNL
old;;Gemeente Oldenzaal;https://www.openarch.nl/old;https://genealogie.oldenzaal.nl/;;https://www.twitter.com/stadoldenzaal
haw;;Historisch Archief Westland;https://www.openarch.nl/haw;https://www.historischarchiefwestland.nl/;;https://www.twitter.com/HAWestland
tkr;;Tweede Kamer der Staten-Generaal;https://www.openarch.nl/tkr;https://www.erelijst.nl/;;https://www.twitter.com/2eKamertweets
hvt;;Gemeente Hof van Twente;https://www.openarch.nl/hvt;https://www.hofvantwente.nl/;;https://twitter.com/gemhofvantwente
sgv;NL-HvsSAGV;Streekarchief Gooi en Vechtstreek;https://www.openarch.nl/sgv;https://www.gooienvechthistorisch.nl/;https://archiefwiki.pleio.nl/wiki/Streekarchief_Gooi_en_Vechtstreek;
dom;NL-StdEHC;Archief De Domijnen Sittard-Geleen;https://www.openarch.nl/dom;https://www.dedomijnen.nl/;https://archiefwiki.pleio.nl/wiki/Archief_De_Domijnen;https://twitter.com/DeDomijnen
hkm;;Heemkring Molenheide;https://www.openarch.nl/hkm;https://www.heemkringmolenheide.nl/;;
